feature,importance
macd_signal,0.010330975018075969
dist_ema_100,0.007990566738970325
tod_cos,0.0069161480400305635
obv_change_10,0.006651597775480263
range_60,0.006246494624527828
dist_ema_200,0.006088710494840832
vol_60,0.0030691885098015717
macd,0.002976274943069327
ret_15,0.0026448269104718167
stoch_d,0.0022900660193125124
ret_30,0.002106603958455818
ret_10,0.00197348415739218
ema_5,0.0016910269145262353
rsi_7,0.0013504564590133272
dist_ema_34,0.0012994384641894878
dist_ema_21,0.001272409062958224
atr_14,0.0010788109766398286
dist_ema_50,0.00106462054099347
vol_z_50,0.0010609039983241846
ret_60,0.0009815051322075534
vol_10,0.0009483941156993211
body_pct,0.0008970382533601088
dist_ema_13,0.0008912945055984759
range_1,0.0008784555400136821
range_3,0.0006585037874948055
