feature,importance
bb_position,0.005476970104913696
macd_hist,0.004835577868762579
obv_change_10,0.004599737167516123
tod_cos,0.004599399770232456
vol_z_50,0.0036668336783220643
range_5,0.0031553393963625145
body_pct,0.002839872936183041
upper_wick_pct,0.002675897856346402
vol_ratio_5,0.0023094844063410447
vol_10,0.002180598644000331
vol_z_10,0.00210198507691813
range_15,0.0020392291821658506
atr_pct,0.0017507545046755075
vol_30,0.0017497423128246536
lower_wick_pct,0.0015354950377294656
range_2,0.0014174059884644041
vol_ratio_50,0.0011569352855140085
dist_ema_13,0.0011518743262598126
range_30,0.0010172528100976426
ret_1,0.0009949845893790406
tod_sin,0.0008401192362000506
macd,0.0007655544365211912
dist_ema_200,0.0007358634755631662
dist_ema_5,0.0006454410035544959
ema_13,0.0006036037403862974
